stock,S_0.5
stock_zero,0.31101213497164665
stock1,0.7012361738465049
stock2,0.683409376789968
stock3,0.7645618637413909
stock4,0.4095147016569314
stock5,0.6676248380839006
stock6,0.7797562659078593
stock7,0.6678591854533938
stock8,0.8451700351116747
stock9,0.5509243524193591
stock10,0.8862235893775318
stock11,0.690555618401937
stock13,0.89762831199717
stock14,0.6473601726351746
stock15,0.8144482332637539
stock16,0.5726226124706522
stock17,0.6067912971487057
stock18,0.47496416184626455
stock19,0.8107261971943771
stock20,0.8310117191264154
stock21,0.8849120106921557
stock22,0.8183389315854298
stock23,0.8106300021423443
stock26,0.7975983553229775
stock27,0.6909689379887466
stock28,-14.078452438229796
stock29,0.889866334111882
stock30,0.6215076373303056
stock31,0.6570288394224312
stock32,0.895332965400788
stock33,0.44240033721263017
stock34,0.8117085490731097
stock35,0.7731033791457895
stock36,0.8453125741687824
stock37,0.6046583318035263
stock38,0.8277186107369272
stock39,0.5300663805868968
stock40,0.7551718379225706
stock41,0.749303965130772
stock42,0.8288054401254018
stock43,0.9560085234138913
stock44,0.8950503061018612
stock46,0.82796025472532
stock47,0.8491879224011492
stock48,0.7260738912936447
stock50,0.9085633952319689
stock51,0.7849365209782054
stock52,0.8188302262926219
stock53,0.3066349216396425
stock55,0.77494498448929106
stock56,0.8917090143815154
stock58,0.7087589499782694
stock59,0.7267152825878579
stock60,0.7649949429288501
stock61,0.8353773591342237
stock62,0.7590981794534366
stock63,0.8481688532662102
stock64,0.8659124602487924
stock66,-1.068809134538692
stock67,0.8507892186868089
stock68,0.6407164196217078
stock69,0.9281602992112586
stock70,0.7491923769087578
stock72,0.7189300356831447
stock73,0.7805770949580015
stock74,0.6342676350382159
stock75,0.5232627028596575
stock76,0.8162417368440223
stock77,-4.974250737455223
stock78,0.7932566337933119
stock80,0.7994489671423592
stock81,0.39002241611924066
stock82,0.7137830379671135
stock83,0.6760383396836753
stock84,0.9256345146526286
stock85,0.7789928951004146
stock86,0.8186621838599304
stock87,0.827760513669995
stock88,0.6765438205546722
stock89,0.7412683665504665
stock90,0.7926033902404899
stock93,0.50834356840488
stock94,0.7596906318343155
stock95,0.8518855350980208
stock96,0.8207368749752197
stock97,0.6707428141654876
stock98,0.6937733621783673
stock99,0.8440995317789484
stock100,0.841710349338885
stock101,0.8359253043545317
stock102,0.7320996400638072
stock103,0.7617209641916733
stock104,0.8265739850240141
stock105,0.8448602894852537
stock107,0.8165409626670871
stock108,0.9115263799214249
stock109,0.8990585315278985
stock110,0.6899009369411508
stock111,0.9308961038670391
stock112,-1.8877858940275494
stock113,0.8290694859629932
stock114,0.6549731683845805
stock115,0.7840501998983341
stock116,0.7045065315388914
stock118,0.7808728723047507
stock119,0.8595635894729519
stock120,0.8762252359892401
stock122,0.7936695303315191
stock123,0.9306076724803496
stock124,0.8787903615962984
stock125,0.8685708381486449
stock126,0.7224804029319057
